GeneInfo	CA_N_007	CA_N_012	CA_N_030	CA_P_013	CA_P_041	CA_P_055	CA_SL_019	CA_SL_048	CA_SL_056	CA_SM_029	CA_SM_039	CA_SM_049
Caust.v2_013502-RA	0	0	0	0	0	0	0	2	0	0	0	0
Caust.v2_013501-RA	0	0	0	1	0	1	0	0	0	0	0	0
Caust.v2_013506-RA	0	0	0	0	1	0	0	2	2	1	0	0
Caust.v2_013505-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013508-RA	1	1	0	0	0	3	1	0	1	1	0	0
Caust.v2_013511-RA	0	0	0	0	0	2	0	0	1	0	0	0
Caust.v2_013490-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013498-RA	2	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013494-RA	0	0	0	0	0	1	0	0	0	0	0	2
Caust.v2_013491-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013495-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013496-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013504-RA	0	0	0	0	0	0	0	0	1	0	0	1
Caust.v2_013507-RA	0	0	0	0	1	0	1	0	1	0	0	0
Caust.v2_013497-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013492-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013509-RA	0	0	2	0	1	0	0	2	0	1	0	0
Caust.v2_013499-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021812-RA	130	120	92	86	71	121	120	114	86	122	92	177
Caust.v2_018962-RA	0	0	0	0	0	0	0	0	0	0	1	0
Caust.v2_018964-RA	2	162	123	141	112	105	79	24	88	40	116	92
Caust.v2_018963-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_018965-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020090-RA	1292	287	1063	1084	240	2020	7576	6790	970	1189	1127	14364
Caust.v2_020091-RA	19	19	18	18	5	13	8	21	9	15	36	26
Caust.v2_016391-RA	1	1	3	1	2	2	0	2	2	4	0	0
Caust.v2_016385-RA	2	0	0	1	0	0	3	1	1	1	1	0
Caust.v2_016389-RA	0	0	0	3	0	1	0	0	0	0	1	0
Caust.v2_016386-RA	3	5	0	1	4	0	1	1	3	1	0	2
Caust.v2_016390-RA	0	0	0	1	0	0	0	0	3	0	0	1
Caust.v2_016387-RA	1	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016388-RA	0	0	0	0	0	0	2	0	1	0	0	0
Caust.v2_016190-RA	3	1	0	1	0	0	0	0	2	2	1	0
Caust.v2_016191-RA	1	1	1	0	0	0	0	1	2	1	1	0
Caust.v2_016192-RA	1	2	3	2	3	3	2	0	1	0	2	1
Caust.v2_016194-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016187-RA	1	0	0	2	1	1	1	0	1	0	1	1
Caust.v2_016189-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016195-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016188-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016193-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020811-RA	0	0	0	0	0	0	1	5	0	0	0	0
Caust.v2_020812-RA	26	15	18	13	9	11	7	26	10	16	23	6
Caust.v2_016271-RA	25	1	7	2	10	14	2	1	12	14	4	0
Caust.v2_016272-RA	0	0	0	2	1	1	0	0	2	0	0	0
Caust.v2_016273-RA	3247	988	1396	772	1868	2142	604	1365	1925	1600	1064	44
Caust.v2_016266-RA	0	0	0	0	0	0	0	0	0	0	0	0
