GeneInfo	BT_A_N_001	BT_A_N_025	BT_A_N_029	BT_A_P_014	BT_A_P_026	BT_A_P_030	BT_A_SL_003	BT_A_SL_027	BT_A_SL_031	BT_A_SM_004	BT_A_SM_028	BT_A_SM_032
XR_001099798.2	96	13	21	19	29	19	53	28	32	62	10	5
XR_001099793.2	950	298	476	236	579	419	994	353	382	453	120	286
XM_020864380.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020864378.1	24	12	11	16	8	16	20	6	7	7	10	18
XM_012320962.2	1314	1713	1365	1386	1028	1186	1453	1174	1302	1316	1230	1248
XM_003392880.3	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320892.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_020865369.1	429	541	382	322	307	279	392	255	337	526	341	283
XM_020865359.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020865363.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320630.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_020865367.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012314213.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012315382.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012311965.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012312495.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012311348.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_020865341.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392877.3	0	0	0	0	0	0	0	0	0	0	0	0
XM_012313612.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012316518.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012315964.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012317619.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_020865350.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020865345.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012318198.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_020865333.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012318962.2	1020	941	917	760	780	824	809	986	765	686	483	676
XM_020865379.1	396	438	348	322	266	248	327	300	228	292	232	265
XM_012320314.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320415.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320192.2	2	1	7	7	0	4	4	3	5	1	4	4
XM_012320538.2	0	0	0	0	0	0	1	0	0	0	0	0
XM_012320493.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_020865376.1	8	5	4	9	3	4	4	7	7	2	3	0
XM_012309634.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392872.2	1457	1545	1349	1129	1130	1131	1650	1410	1024	990	901	977
XM_012308785.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012307672.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392871.3	0	0	0	0	0	0	0	0	0	0	0	0
XM_012310530.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012316241.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320313.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320868.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012316587.1	0	0	0	0	0	0	0	2	0	0	0	0
XR_001099734.2	401	496	528	429	361	374	400	331	329	394	266	421
XM_003392922.3	13	89	84	64	53	53	128	53	37	43	36	83
XM_003392921.3	9	10	14	16	8	10	37	12	4	14	12	8
XM_003392920.3	2	9	5	3	3	4	6	4	5	5	3	5
XM_012320160.2	9	6	4	9	6	10	44	5	15	13	2	9
XM_012320134.2	121	164	77	91	116	123	270	163	152	131	57	120
XM_003392917.3	1	7	5	5	2	1	8	5	1	3	1	7
XM_003392916.3	4	29	27	17	7	10	25	14	17	9	5	21
XM_003392915.3	656	680	678	555	556	489	692	476	495	546	420	497
XM_020864550.1	40	39	31	20	36	14	32	15	13	8	13	22
XM_003392913.3	0	0	0	0	0	0	0	0	0	0	0	0
XM_012319738.2	3	2	4	1	0	5	3	6	4	1	0	0
XM_003392912.2	0	0	0	0	0	0	2	0	0	0	0	0
XM_012319789.2	1	0	0	0	0	0	0	0	0	0	0	0
XM_012320217.2	1	4	0	1	2	3	1	0	0	1	0	0
XM_020863757.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392911.3	0	0	0	0	0	0	0	0	0	0	0	0
XM_012319282.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012319213.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012319151.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012319412.2	476	672	751	462	435	469	385	445	370	380	312	486
XM_012319539.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012319595.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012319486.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392909.3	3272	4670	3273	3827	3161	3584	4650	3543	3277	2588	2847	3206
XM_012318963.2	194	381	203	240	211	254	277	210	246	196	214	244
XM_003392907.3	6488	9735	6112	7836	5877	7284	7102	5982	6012	5256	6072	5754
XM_003392906.3	25	21	21	17	24	36	31	27	13	23	26	19
XM_020863766.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020863772.1	0	0	0	0	1	0	0	0	0	1	0	0
XM_020863782.1	0	0	0	1	0	0	0	0	0	0	0	0
XM_003392904.3	0	0	0	0	0	0	0	0	0	0	0	0
XM_020863769.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020863768.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392903.3	2	2	7	1	1	3	2	0	3	0	0	3
XM_012318496.2	145	78	67	90	91	123	134	120	126	107	82	64
XM_012318251.2	17	6	11	2	6	11	13	5	8	4	8	3
XM_012318300.2	17	16	13	16	15	8	22	7	18	15	6	15
XM_003392902.3	0	0	0	0	0	0	0	0	0	0	0	0
XM_012318165.2	3	2	4	3	4	0	3	4	5	6	1	1
XM_012318344.2	25	26	25	23	19	10	20	20	34	20	19	17
XM_012317620.2	733	563	528	443	529	555	544	497	446	341	295	470
XM_012317700.2	288	310	275	271	192	254	252	184	215	229	227	224
XM_012317831.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012317780.2	1	0	0	0	0	0	0	0	0	0	0	0
XM_012318075.2	9	1	3	5	11	10	5	3	5	8	3	2
XM_012318015.2	26	17	12	9	10	21	10	15	16	12	22	12
XM_012317480.1	5108	2491	4050	3364	3559	3293	4455	4522	2202	1941	1771	1970
XM_012317528.2	37	22	39	17	28	27	42	32	17	35	18	23
XM_003392899.3	549	717	754	696	462	492	865	544	494	652	523	484
XM_012317157.2	3140	5147	3125	4731	4894	5387	5774	4350	5405	3188	5320	4214
XM_020862909.1	2	18	9	14	12	14	15	16	9	16	18	16
XM_012317258.2	295	300	291	295	230	209	475	257	242	281	160	186
XM_012320230.2	136	172	143	175	131	106	79	114	91	84	110	134
XM_003393098.3	6	3	4	7	5	4	2	2	6	4	3	10
XM_003393110.3	242	199	71	91	92	141	9	99	67	56	55	110
XM_020864832.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020864836.1	902	766	928	1028	727	759	1033	845	800	718	523	867
XM_012320287.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_020864839.1	33	20	21	20	19	9	8	17	13	23	4	8
XM_020864844.1	0	0	1	3	0	0	0	1	0	2	0	4
XM_020864852.1	0	0	0	0	2	0	0	1	1	0	0	0
XM_003393117.3	47	47	21	35	28	25	45	29	34	66	22	28
XM_020864866.1	0	0	0	0	0	0	0	0	0	1	0	0
XM_003393118.3	1	0	0	2	0	0	2	1	0	0	0	1
XM_012320252.2	0	2	2	4	3	3	1	3	3	0	2	2
TRNAI-AAU	0	1	0	0	2	0	0	0	0	0	0	0
XR_002307715.1	8	3	9	8	3	3	15	4	2	5	5	5
XR_002307819.1	0	0	0	0	0	0	0	0	0	0	0	0
XR_001099740.2	0	0	0	0	0	0	0	0	0	0	0	0
XR_002307814.1	0	0	0	0	0	0	0	0	0	0	0	0
XR_002307818.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020863620.1	0	0	0	0	0	0	0	0	0	0	0	0
XR_002307820.1	101	69	66	48	34	44	69	45	54	63	22	51
XM_020863603.1	302	166	120	174	241	170	251	268	117	136	188	162
XM_012320328.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320329.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320330.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_020863616.1	0	0	0	0	0	0	1	0	0	0	1	0
XM_020868651.1	21284	9869	11095	6405	11948	10217	14747	12746	7049	9956	8004	7193
XM_020863611.1	20	20	12	10	11	18	24	15	17	20	17	11
XM_020863613.1	22	12	17	15	10	14	6	13	13	13	6	10
XM_020865605.1	9	26	3	3	7	4	6	3	13	2	7	7
XM_003393120.3	26	31	24	14	16	49	47	12	24	40	29	18
XM_003393123.3	6	1	4	2	3	8	2	4	4	1	5	3
XM_020865593.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320361.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320368.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320380.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_003393122.3	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320395.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320388.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320402.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_003393124.2	49	35	45	40	38	29	31	40	42	48	7	41
XM_003393129.3	903	1605	1025	1190	988	1258	1294	1118	1223	916	1055	1064
XM_003393125.3	1083	914	933	718	770	751	967	833	694	767	502	638
XM_020864933.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_003393127.3	0	0	0	0	0	0	0	0	0	0	0	0
XM_003393128.3	537	797	624	519	563	643	761	595	617	530	537	576
XM_003393126.3	781	756	893	725	465	616	771	626	458	681	546	601
XM_012320464.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320453.2	52	42	47	48	28	39	36	46	27	42	26	31
XM_020864918.1	10	5	2	3	2	8	6	4	1	4	1	0
XM_003393131.3	467	473	360	321	312	347	496	310	375	359	234	299
XM_003393133.2	17142	17217	14288	15054	12344	13399	18536	13262	14235	14842	11213	10800
XM_012320495.2	882	789	983	668	577	581	767	661	605	685	492	577
XM_003393132.3	480	407	410	383	315	345	495	407	279	292	281	311
XM_012320509.2	1869	2679	1958	2072	2029	2129	2206	1973	2297	1937	1718	1757
XM_012320513.2	8916	8426	6636	6331	6968	6558	7040	8565	8315	5924	5004	5440
XM_003393137.3	44	65	53	29	34	30	51	40	24	32	30	38
XM_003393136.3	7	1	8	4	3	4	14	3	1	1	1	3
XR_001099753.2	53	38	65	36	67	100	357	41	43	54	31	43
XM_012320545.2	506	768	438	608	472	548	642	523	537	443	500	480
XM_003392929.2	251	252	200	210	192	215	233	217	216	218	190	186
XM_003392930.3	780	1154	800	952	785	902	1192	925	793	737	769	787
XM_003392931.3	0	0	0	2	0	1	0	0	0	0	1	2
XM_012320571.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320575.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320581.2	2	3	5	9	4	8	11	5	6	3	7	7
XM_012320587.2	844	984	777	758	675	662	969	837	676	694	634	594
XM_003393102.3	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320601.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_020863508.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020863485.1	2	2	1	3	2	3	0	1	1	1	1	1
XM_003392932.3	7	2	1	2	5	6	5	2	3	2	1	4
XM_012320619.2	1	2	3	4	1	2	0	5	0	4	3	0
XM_003392933.3	236	339	252	292	245	337	289	212	268	254	269	224
XM_020862968.1	12	18	11	11	13	4	13	7	13	14	12	9
LOC100647602	674	715	539	417	534	459	780	552	545	551	394	430
XM_003392935.3	184	335	263	197	156	222	230	168	176	206	182	222
XM_020868513.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020868510.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392936.3	0	0	0	0	0	0	0	0	0	0	0	0
XM_020868524.1	9	3	4	0	3	1	2	0	0	3	1	6
XM_003392937.3	1458	2361	1497	1665	1590	2020	2138	1736	1749	1283	1644	1572
XM_012320706.2	10	13	17	6	5	10	5	11	6	5	2	14
XM_003392939.3	15	7	12	18	11	8	14	7	10	11	11	9
XM_003392940.3	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320689.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392941.3	1691	1670	1881	1771	1553	1648	3425	1514	1258	1127	988	1282
XM_012320744.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320733.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012320740.2	0	0	0	0	1	0	0	2	0	0	0	0
XM_012320750.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392944.2	571	563	494	493	541	555	823	498	445	498	406	411
XM_003392945.3	1037	1397	1073	1028	1012	1168	1260	1160	949	681	796	1022
XM_003392946.3	0	0	0	0	0	0	0	0	0	0	0	0
XM_020868505.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392943.3	484	437	293	323	444	380	442	331	561	939	301	296
XM_003392947.3	322	332	281	263	225	276	345	212	330	329	234	235
XM_012320795.2	29	13	20	12	20	21	30	28	11	7	8	9
